Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765647674,50,,Aggregated,24.900000,0.000000,7,8,8,9,10,12,14,20,37,47,47,4736,0,7,8.285453865719825,6.231464999473246,47.069795000425074,83.17145270270271
1765647675,50,,Aggregated,24.200000,0.000000,7,8,8,9,10,12,15,20,37,47,47,4762,0,7,8.287310777205366,6.1724589995719725,47.069795000425074,83.17240655186896
1765647676,50,,Aggregated,25.100000,0.000000,7,8,8,9,10,12,15,20,37,47,47,4783,0,7,8.28430370291709,6.1724589995719725,47.069795000425074,83.17269496132134
1765647677,50,,Aggregated,25.400000,0.000000,7,8,8,9,10,12,14,19,37,47,47,4811,0,7,8.281820799013266,6.1724589995719725,47.069795000425074,83.17397630430264
1765647678,50,,Aggregated,25.600000,0.000000,7,8,8,9,10,12,15,19,37,47,47,4838,0,7,8.283668435728085,6.1724589995719725,47.069795000425074,83.17279867713931
1765647679,50,,Aggregated,24.300000,0.000000,7,8,8,9,10,12,14,19,37,47,47,4862,0,7,8.27858714295593,6.1724589995719725,47.069795000425074,83.17338543809132
1765647680,50,,Aggregated,25.700000,0.000000,7,8,8,9,10,12,15,19,37,47,47,4887,0,7,8.279494433609436,6.1724589995719725,47.069795000425074,83.17188459177409
1765647681,50,,Aggregated,25.100000,0.000000,7,8,8,9,10,12,15,19,37,47,47,4910,0,7,8.275409325671417,6.1724589995719725,47.069795000425074,83.17128309572301
1765647682,50,,Aggregated,24.700000,0.000000,7,8,8,9,10,12,15,19,37,47,47,4937,0,7,8.272998784899785,6.1724589995719725,47.069795000425074,83.16994125987442
1765647683,50,,Aggregated,25.800000,0.000000,7,8,8,9,10,12,14,19,37,47,47,4962,0,7,8.270588396221758,6.1724589995719725,47.069795000425074,83.16848045143088
1765647684,50,,Aggregated,25.400000,0.000000,7,8,8,9,10,12,14,19,37,47,47,4993,0,7,8.268172605258147,6.1724589995719725,47.069795000425074,83.16863609052673
1765647685,50,,Aggregated,25.400000,0.000000,7,8,8,9,10,12,14,19,37,47,47,5010,0,7,8.264787014182392,6.1724589995719725,47.069795000425074,83.1688622754491
